transaction_id,sender_address,receiver_address,amount,timestamp,gas_fee,transaction_count,wallet_age,is_fraud
5a0c16bc-6a01-489b-9477-9c8b2e6cfc4d,0xe30d7d4a6773a556db3d6ed67e5d6e7e49ed1bb6,0x95905c26ffebe1805d7eae7c6c74f7c9dcce547f,79.6764,1723382440,0.059826,287,117,0
fc11712a-dd6f-487d-a26d-cf69501a3f0b,0xe2975122a286ffb2699419c458bbdf050dc0bd7f,0x90d5296ff9c3ff6b93267c0d95471477b045097e,91.0585,1716203586,0.056456,244,223,1
61efd7ad-bdd0-40d4-90f3-ca4edcf9df73,0x469c2847f1ab5d775e2f31020127d5c787050c88,0x5f6f25b26e37366d7fe67941c82a9d169e011c1f,95.0263,1738449619,0.027884,279,95,1
f3dc5d03-c383-4ec6-a2bb-f5ede1c44b88,0x97626780bb5a2933fac4cfa7c2033dd95c9edc81,0x711f1571053b07e6c599f098bc80c59523668b2f,48.6279,1715463245,0.051064,38,20,0
592cc29f-1014-4ec8-ad33-76495e50878e,0xd15c0d22f55a8d80676fc870e2fd758a1b860047,0x6ee4773e3c2ac0bf3d1b9c68843fc293ab1d8b8e,76.7306,1713852288,0.086889,145,82,0
66cb7049-dde2-46ff-a88d-e1cf6c069f73,0x3225ce21df7661fbfcb5bb86e2769a0fdee0ab1a,0x5e726c83261b2848b552c44c21c048b0d998dcb7,11.5487,1734260958,0.038054,241,327,0
596343ab-dbd9-4a28-9ef5-416d10225735,0x99d82af573a94203118814a8ea01a5e0a93daf85,0xe63d18c06f4ec31cd714301985adb755b8892b67,69.7175,1730918674,0.043726,16,248,0
4a906baa-fe92-4385-8144-57a405c4e800,0xa40c664d2f7b9afb9f5642c69af40124ab4dd759,0xe1c50dd5e52afd671e6ec7c704a360268570f202,75.2509,1720455737,0.064878,247,227,0
db1bbfe5-7fff-42b0-96ac-a191bad6b02c,0x1aedf8a2181345968f67c1a2abab5e92f37f3c96,0x307b48cdaa3453107661c211efc0c48fcd912c9f,71.3251,1711356993,0.092932,27,110,0
ad42778e-65e4-4bf4-8157-89061eaabbd6,0x652fed0049eaa056ec64cc07da4337eea154b44f,0xdda194b799b35eba934ebefbb44b847e27868b6c,18.6505,1725553853,0.097751,234,245,0
bab01210-8d7f-4424-bdf7-418d67a90873,0xb10ed3edeee900f8db00def716282829a605e382,0x52e908ffc054ba54dbc75ec00c2609318bcc4a79,39.4527,1718347990,0.069134,374,101,1
931c8bb0-53fa-4611-852d-07f06a2e58d8,0x97b046e541fab9553f45fff02d6ca11f391ed487,0x4d085a1f85cd62026f9ead813b373bd2e019e001,95.7478,1725911632,0.053507,338,69,1
b707524d-b9cb-420d-b3a5-9fb79c2492f9,0xe798da4fcea681dafd200e24fce931934b03ceb2,0xe76de4f8426133962d4ee44331404f5a99195449,12.4165,1719465828,0.096396,268,362,0
bf0e9c87-277d-4b42-b545-adbd62eaca23,0x73b4363d10db0675abccd02bca79c2d9ffa1070b,0x730494a0aaf281af41632c17814fa47330e6fcf8,92.142,1734856339,0.034373,119,254,1
1d8ffdce-7130-4944-a2d1-6152d3d07e1b,0x0bd995351425a76e85b3c244c691ed9c773be6a5,0x93c33ded9405bb630ea5f3e513265a50820bc4b0,38.6009,1728836534,0.069676,465,14,1
0ba4e266-8eda-4f4e-9a0e-c3d5950a5a6b,0xe0d088d9253f1d8dcc8feda1acb402bc2ce42efc,0x8fc93c7849c3ebf5de0708b21e33eb6b76ef22c9,57.6204,1733372177,0.045867,229,248,0
6cc1250e-8560-46a2-ba5b-b5b4e484a693,0x5bad374a0b20280a0aa6cb2758789464d9c70365,0xf26757dea25e2b92d0abed6060596ae35602383d,51.6132,1729312419,0.059557,36,320,0
d6074eeb-9217-45ba-9607-ce7538225442,0xd1f9d79fb2978ebdd7745b4c2c2fdce0f8afd2f7,0x0301ae686ee5eecbbffacf27d03b0ea9b8579dc4,50.0663,1713781458,0.094694,253,172,0
c59699a3-cae2-4f6d-9137-ab0d34b014aa,0x5ffdd7820599ce81261ade8ab720eb54206abbf9,0x677ac0d82deca46f0afb1eeb015030076b538ff6,55.7548,1720696013,0.087648,63,229,0
71484ff6-f55a-4813-9b9a-361066959c2f,0xaf6e2d53c36a137ecb3897d98ad003ba024fe9ae,0xf84aaa60b0e28aa90c6e1c66b4c5d5a061586b74,22.5343,1717372290,0.083293,495,30,1
e48a0af3-fa30-4f27-af39-b57077101999,0x85f7d61dc220962f016919c2da7af0632663ee5b,0x1afd3af9867c56e8b567c625bf4b8c59c041241e,14.2696,1725145059,0.090022,374,186,1
d89b3ed9-78da-4e22-9b6b-ca6a908cf872,0xf9fec1d58a7de40ff68be321978be32170b1b5e8,0x2b49f9954637cd80b95f27458727d7b7afc5ddd2,99.256,1741623128,0.038932,365,168,1
25d8689c-4787-417b-9a85-3283f2eaca64,0xd6de3438e6df8cc61f3946aa31da9fdc3536fda9,0xaa01fbc180ca836e14c0d83f37706732c976131b,34.6451,1730417147,0.088582,10,132,0
ea30efae-2df8-43f7-8067-47bd7a738011,0xee178c12c8b9e8c38b10f2fdf79ef92d91c7d514,0xe087ff8baed4ac48dcd77ba41ea09992e101fd1c,58.7509,1713250826,0.054863,184,24,0
6daf2902-5a27-4183-b663-067759dd65d4,0x8d19733c7e1c9e5306298552159c0c1129fc2646,0x4eb12d103798243392ff42926ea113ba7cefd5ec,93.4778,1727812826,0.038726,148,224,1
196a9e41-5c12-40af-a97b-50d703ae0131,0xf0e4db2a0ebbfe977c2157f6cf5dee19c52fb12f,0x6d835d1495528a6c0e129269eb38397007aa4434,13.6617,1736097489,0.061014,447,194,1
5342a414-47b3-4832-830e-c5f71bd9d02e,0x7e72a670cf45a19ea789acdbd97e8a79f9d22542,0x84a1be8bafaa93241e3c68d6553ad042c9f34859,42.263,1713731239,0.002798,136,282,0
e9dcdd08-7c0d-48f1-a9ea-756ce2a5348f,0x10e41ef5dc5b1bae9b160ef703781591d88029b9,0x5cca04a2b67f1160f61ce6967f755c5264897283,83.87,1715320960,0.026666,168,360,1
48b14394-0fa5-4f02-ba14-fa3c5125cb67,0x4c6fd3098a69f57de9921c32f45d59e930d82631,0xb5b9879ee46e9c2d2588e62b4d6fbe7617bcbd10,89.911,1726608015,0.011425,220,38,1
937d01f3-ce64-47a9-b577-9cf685e185b2,0x9f2c57166421fd4c7d18551bb94b9efe643e6443,0x430b1ee44839f68aba836cc693d2a8afc6d58486,84.6374,1730437155,0.009862,298,249,1
c14b92f2-78bc-4ef9-a2e5-1b7046bc29a4,0xb4be2d775d751d9d67dd44c39a43ed2d01d5d36f,0x46d161276a1f6fdd2553d5da08652ff4e8b958c6,72.5986,1723793670,0.008302,272,169,0
d4e7d73c-cd71-45d2-b824-2c6805780607,0x7d34d9f15b2f82d0ec046b15f8a4eb44fd6c0a3f,0x456cfc094677e9c3be9d907334b6af075b69aa61,3.6773,1715576723,0.018815,190,2,0
d378b666-127e-499d-8008-2b589a2b246f,0x9e56ac42de43d5bad529e68f271439bf528f3682,0x1d839eec609cd5e6571e01c0513f2081875f4e02,91.0092,1732327547,0.079927,202,115,1
7611335a-fb26-45bd-9930-17e33e170ff8,0x7f06b67fbcfc95300c98d1fb91a92b4f1b2854e8,0xc488d8e4342f5600819434d45dabc152a43fd26e,60.2937,1717841092,0.047526,140,11,0
066c5791-6ceb-4ba6-bb04-515d736d5288,0x3a82cd74be8c0d318993051e437de4be5251e19b,0x46be307a1ea1053028375172abd7a03edf1b187d,99.7408,1712555204,0.032081,499,159,1
